edit_history_tweet_ids,id,text,topic
['1597438201487978496'],1597438201487978496,"@LUIZPATRIOTA39 Que papo de infiltrado! Cai na real: Quem nos apelidou de Bolsonaristas foi a esquerda invejosa. Nós sempre fomos PATRIOTAS CONSERVADORES DE DIREITA. Não estamos nas frentes dos Quartéis por causa do Presidente Bolsonaro, mas porque fomos roubados nas eleições e outras coisas.",Bolsonaro
['1597438198564917248'],1597438198564917248,"@hospicio_brasil Ninguém aguenta mais esses bolsonaro

https://t.co/rz45EZniWh",Bolsonaro
['1597438197336014848'],1597438197336014848,@TKamogari @claudioedantas De forma alguma. Repare no que escrevi. Patriotas são patriotas. Apenas isso. Muito mais rejeitam Lula por seu histórico e intenções declaradas do que apoiam Bolsonaro. Mas existem Patriotas Bolsonaristas. E até Lulistas tb. São grupos que se interpõe.,Bolsonaro
['1597438188750278658'],1597438188750278658,@PassosMorando @rafacarrilhor Isso fora o pt quanto ao bolsonaro ele já está fora de qualquer maneira.,Bolsonaro
['1597438168445304832'],1597438168445304832,cade tua voz agora Eduardo bolsonaro ? https://t.co/uA8ViYVEiZ,Bolsonaro
['1597438156332490752'],1597438156332490752,"@DilmaResiste Ninguém aguenta mais esses bolsonaro

https://t.co/rz45EZniWh",Bolsonaro
['1597438145561493504'],1597438145561493504,"@catafoiawins @realpfigueiredo @gilsonmachadont @jairbolsonaro https://t.co/WZ4uKjLI38   
 
A parte do Mercadante vindo de família militar, filho de general e irmão de coronel é  bem interessante e tendencioso não? E esses ex íntegrantes do governo Bolsonaro e suas afinidades com a equipe de transição? Balela tb?",Bolsonaro
['1597438144009613317'],1597438144009613317,"@flferronato Não sei se vc sabe, ""miga"", mas esse aí não é o Bolsonaro de verdade, tá?! 🤣🤣🤣🤣🤣🤣",Bolsonaro
['1597438129249873922'],1597438129249873922,"@brunogagliasso Ninguém aguenta mais esses bolsonaro

https://t.co/rz45EZniWh",Bolsonaro
['1597438129127899136'],1597438129127899136,"@marciatiburi Ninguém aguenta mais esses bolsonaro

https://t.co/rz45EZ59I9",Bolsonaro
['1597438125919604737'],1597438125919604737,@CaianLuca Vazou tua foto visitando o Bolsonaro depois que ele perder o foro kkkkkk,Bolsonaro
['1597438110350000128'],1597438110350000128,"Não se preocupe não com o Bolsonaro por q está em silêncio ele ainda não terminou o seu mandato não,em janeiro a população entregará a faixa de presidente pro atual pela seg:vez aguarde que será uma grande surpresa fiquem tranquilos ok.",Bolsonaro
['1597438107552743424'],1597438107552743424,"@viniciuscfp82 Problema dele!
QUE FIQUE BEM CLARO:
O movimento na frente dos quartéis, é do POVO BRASILEIRO, e não de Bolsonaro!
🇧🇷🔰🇧🇷🔰🇧🇷🔰🇧🇷🔰🇧🇷🔰🇧🇷🔰
(Senão, o povo estaria na frente da casa dele, e não nos quartéis).
👍👍👍👍👍👍👍👍👍",Bolsonaro
['1597438104276594689'],1597438104276594689,@MaraCav43367689 @rafaelcdino @QuebrandoOTabu Serio mesmo que vc não está vendo? Veja o numero de condenados ou indiciados dos mais de 300 nomes na equipe de transição…. Obs: Bolsonaro usou 31 de um total de 50 permitidos. Veja o mercado fugindo desse desgoverno que nem tem indicação de ministros ainda. Estamos perdidos,Bolsonaro
['1597438085175705600'],1597438085175705600,"@MrJam78 @desmentindobozo Opa, Estado autoritário? Mas o governo é Bolsonaro. Rsrs.",Bolsonaro
['1597438080289755136'],1597438080289755136,"@jair_telegram @WALLACESACRA @AnticomunismoB Eu não confio na Jovem Pan, mas o Paulo de Figueiredo que deu nome aos bois, tem fontes confiáveis e tem credibilidade! Se não fosse esse impasse, Bolsonaro já teria dado a ordem!",Bolsonaro
['1597438078687191040'],1597438078687191040,@Rconstantino Quem disse q o Eduardo bolsonaro está no nosso time? Cara passou o mandato todo sem fazer nada,Bolsonaro
['1597438067391881221'],1597438067391881221,@LUIZPATRIOTA39 Aos poucos o gado tão acordando da lavagem cerebral que o Bolsonaro fez,Bolsonaro
['1597438066595344384'],1597438066595344384,"@blogdosakamoto Nosso presidente é Jair Messias Bolsonaro, os filhos deles não apitam nada aqui!!!!",Bolsonaro
['1597438062929539072'],1597438062929539072,@senadorhumberto Putz família Bolsonaro conseguiu fazer os esquerdalhas ladrões se preocuparem com os patriotas q está na chuva!!!Bolsonaro e são fodas!!😂😂😂😂😂,Bolsonaro
['1597438062447169536'],1597438062447169536,"@Sen_Cristovam Pois é, Senador,político sensato que é, com certeza o Sr. fez chegar o seu comentário à jornalista petiste  Bárbare Gancie que usou dessa mesma agressividade, num tom mais forte, ao ter chamado uma menina de 11 anos de idade de pu..., filha do Presidente Bolsonaro. 
Segue a linha",Bolsonaro
['1597438039281672192'],1597438039281672192,"@marcelorubens Eduardo Bolsonaro no Catar sepulta a narrativa da esquerda de que Bolsonaro ou seus filhos estariam fomentando um ""golpe"" no país. Ou seja, só prova que as manifestações são absolutamente orgânicas e exclusivas do POVO.",Bolsonaro
['1597438037835010048'],1597438037835010048,@veronikapistore A diferença é que eles não defendem a esquerda e defendem Bolsonaro que não defende controle das redes e nem censura.,Bolsonaro
['1597438028271583233'],1597438028271583233,"@brasil247 Ninguém aguenta mais esses bolsonaro

https://t.co/rz45EZ59I9",Bolsonaro
['1597438020248276993'],1597438020248276993,"@NikoIasFerreira Eu votei no Pesidente Bolsonaro.  Não votei no filho dele!!!
Força Presidente.",Bolsonaro
['1597438014665289728'],1597438014665289728,"@AEmadoPlanalto @FernandoHoliday Bolsonaro nunca foi lider de nada. É um chucro. Ele tá é pensando agora como se livrar da cadeia e livrar os filhos tbm.
Pq eles odeiam foro privilegiado né? Agora sem foro será uma maravilha 😂",Bolsonaro
['1597438010261241856'],1597438010261241856,"@GuedinhoeFans Ingênuidade pensar que alguém está na frente dos quartéis, por Bolsonaro e sua família. Vocês não entenderem nada…",Bolsonaro
['1597438009548636160'],1597438009548636160,"@RubensOtoni NÃO LUTAMOSD POR EDUARDO BOLSONARO,OU JAIR BOLSONARO;LUTAMOS CONTRA OS TRAIDORES DO BRASIL,LUTAMOS PELA NOSSA LIBERDADE,PELA JUSTIÇA QUE NÃO EXISTE MAIS,E CONTRA VOCÊS DA IMPRESSA DA FOLHA DE PAGAMENTO DO PT",Bolsonaro
['1597438004922290178'],1597438004922290178,Bolsonaro abaixo do cu de cachorro,Bolsonaro
['1597438002263121920'],1597438002263121920,@Fiuzafirmao2 TODOS OS BRASILEIROS QUE APOIAM BOLSONARO!!!,Bolsonaro
['1597437994503659521'],1597437994503659521,"@realpfigueiredo Família Bolsonaro:

--""Mantenha nosso gado em frente aos quartéis enquanto, precisamos deles"" https://t.co/5C6wZLwVCC",Bolsonaro
['1597437940073779200'],1597437940073779200,"Bolsonaro a mídia podre não te reconheceu, como o grande líder que o Brasil nunca teve,mas o mundo te reconheceu, só um homem sensível a dor do próximo pode dizer, que atividade essencial é aquela que todo chefe de casa, tem que levar o pão para família!#BolsonaroOrgulhoDoBrasil https://t.co/ewqtsnfjnt",Bolsonaro
['1597437927155331073'],1597437927155331073,Paulo Guedes e Bolsonaro são maconhistas https://t.co/ZU9vxt0IOu,Bolsonaro
['1597437915491188736'],1597437915491188736,Má gestão de Bolsonaro coloca país em risco de interrupção de serviços básicos https://t.co/7pZfNARI7v,Bolsonaro
['1597437909933920256'],1597437909933920256,E. Bolsonaro e cônjuge bem  discretos no aeroporto!! https://t.co/g88lDaCWFc,Bolsonaro
['1597437902308651008'],1597437902308651008,@cesarcalejon1 Putz família Bolsonaro conseguiu fazer os esquerdalhas sem cérebro se preocuparem com os patriotas q está na chuva!!!Bolsonaro e são fodas!!😂😂😂😂😂,Bolsonaro
['1597437880481492993'],1597437880481492993,jss a menina triste pq a provavel ÚNICA amiga q ela já teve na vida tava brava com ela e vcs nessa kkk juro eu viro uma mulheres com bolsonaro quando vejo esse tipo de tweet. https://t.co/bbLVeHZs9o,Bolsonaro
['1597437869102022656'],1597437869102022656,"Por mim também já comprou mansão em Miami, acabou de chegar dela ,foi cancelado shows dele no nordeste. Vai seguir carreira lá fora kkkkk tá fugindo de vergonha por ter apoiado o Bolsonaro  kkk https://t.co/uFK0Gv0Rf2",Bolsonaro
['1597437834809729025'],1597437834809729025,Deus está contigo MEU PRESIDENTE Jair Bolsonaro https://t.co/a7By36SKNj,Bolsonaro
['1597437830770601985'],1597437830770601985,"@UOLNoticias Não é democracia. É um monte de besta em frente dos quartéis querendo reverter eleições limpas pedindo golpe, a família Bolsonaro já reconheceu o resultado, mas, usa as bestas pra causar tumulto,digo, O gado, desculpe se magoei.",Bolsonaro
['1597437827620671488'],1597437827620671488,"O ministro das comunicações do Governo Bolsonaro assistindo a #CopaDoMundo2022 na TV Globo no conforto do lar com sua família, enquanto os PATRIOTÁRIOS seguem tomando sol e chuva nas portas dos quartéis. Deixe sua risada! 😂😂😂 https://t.co/Aj8mUpoNF3",Bolsonaro
['1597437827285123072'],1597437827285123072,"@FernandoHoliday Divisão: 
direita x puxa sacos do Bolsonaro",Bolsonaro
['1597437809941696512'],1597437809941696512,"@MBLivre Muito obrigada MBL, por divulgar nossas manifestações em frente aos quartéis,  já que a mídia podre não divulga.  Quanto ao Eduardo Bolsonaro,  não me interessa,  estou nas ruas pelo meu país,  não por um único homem.",Bolsonaro
['1597437808851181569'],1597437808851181569,"@Iz3Lz @Yago_95fer @direita_pura @PATRlOTAS E quem vota na direita é o que? Enquanto o Bolsonaro e os filhos tão confortáveis ganhando muito dinheiro, indo pra copa e vivendo vida boa vcs vão pra frente de quartel pegar chuva e spray de pimenta. Bolsonaro é comprovadamente corrupto, desde a vida de vereador no RJ",Bolsonaro
